Sport,Event,Market,Outcome,Bookmaker,Odds
Boxing,Albert Ramirez vs Lerrone Richards,h2h,Albert Ramirez,DraftKings,-600
Boxing,Albert Ramirez vs Lerrone Richards,h2h,Albert Ramirez,FanDuel,-1100
Boxing,Albert Ramirez vs Lerrone Richards,h2h,Albert Ramirez,theScore Bet,-650
Boxing,Albert Ramirez vs Lerrone Richards,h2h,Lerrone Richards,DraftKings,400
Boxing,Albert Ramirez vs Lerrone Richards,h2h,Lerrone Richards,FanDuel,540
Boxing,Albert Ramirez vs Lerrone Richards,h2h,Lerrone Richards,theScore Bet,450
Boxing,Amanda Serrano vs Cheyenne Hanson,h2h,Amanda Serrano,Bally Bet,-3335
Boxing,Amanda Serrano vs Cheyenne Hanson,h2h,Amanda Serrano,FanDuel,-5000
Boxing,Amanda Serrano vs Cheyenne Hanson,h2h,Amanda Serrano,theScore Bet,-5000
Boxing,Amanda Serrano vs Cheyenne Hanson,h2h,Cheyenne Hanson,Bally Bet,1300
Boxing,Amanda Serrano vs Cheyenne Hanson,h2h,Cheyenne Hanson,FanDuel,1600
Boxing,Amanda Serrano vs Cheyenne Hanson,h2h,Cheyenne Hanson,theScore Bet,1400
Boxing,Antonio Vargas vs Jesse Rodriguez,h2h,Antonio Vargas,Bally Bet,1150
Boxing,Antonio Vargas vs Jesse Rodriguez,h2h,Antonio Vargas,DraftKings,1100
Boxing,Antonio Vargas vs Jesse Rodriguez,h2h,Antonio Vargas,FanDuel,1360
Boxing,Antonio Vargas vs Jesse Rodriguez,h2h,Antonio Vargas,theScore Bet,1200
Boxing,Antonio Vargas vs Jesse Rodriguez,h2h,Jesse Rodriguez,Bally Bet,-3335
Boxing,Antonio Vargas vs Jesse Rodriguez,h2h,Jesse Rodriguez,DraftKings,-3500
Boxing,Antonio Vargas vs Jesse Rodriguez,h2h,Jesse Rodriguez,FanDuel,-3000
Boxing,Antonio Vargas vs Jesse Rodriguez,h2h,Jesse Rodriguez,theScore Bet,-3500
Boxing,Arturo Cardenas vs Jordan Martinez,h2h,Arturo Cardenas,Bally Bet,-175
Boxing,Arturo Cardenas vs Jordan Martinez,h2h,Arturo Cardenas,DraftKings,-155
Boxing,Arturo Cardenas vs Jordan Martinez,h2h,Arturo Cardenas,FanDuel,-148
Boxing,Arturo Cardenas vs Jordan Martinez,h2h,Arturo Cardenas,theScore Bet,-150
Boxing,Arturo Cardenas vs Jordan Martinez,h2h,Jordan Martinez,Bally Bet,130
Boxing,Arturo Cardenas vs Jordan Martinez,h2h,Jordan Martinez,DraftKings,125
Boxing,Arturo Cardenas vs Jordan Martinez,h2h,Jordan Martinez,FanDuel,112
Boxing,Arturo Cardenas vs Jordan Martinez,h2h,Jordan Martinez,theScore Bet,120
Boxing,Brian Norman Jr vs Josh Wagner,h2h,Brian Norman Jr,DraftKings,-2000
Boxing,Brian Norman Jr vs Josh Wagner,h2h,Brian Norman Jr,FanDuel,-1800
Boxing,Brian Norman Jr vs Josh Wagner,h2h,Brian Norman Jr,theScore Bet,-2000
Boxing,Brian Norman Jr vs Josh Wagner,h2h,Josh Wagner,DraftKings,900
Boxing,Brian Norman Jr vs Josh Wagner,h2h,Josh Wagner,FanDuel,720
Boxing,Brian Norman Jr vs Josh Wagner,h2h,Josh Wagner,theScore Bet,850
Boxing,David Allen vs Filip Hrgović,h2h,David Allen,Bally Bet,550
Boxing,David Allen vs Filip Hrgović,h2h,David Allen,DraftKings,500
Boxing,David Allen vs Filip Hrgović,h2h,David Allen,theScore Bet,550
Boxing,David Allen vs Filip Hrgović,h2h,Filip Hrgović,Bally Bet,-910
Boxing,David Allen vs Filip Hrgović,h2h,Filip Hrgović,DraftKings,-800
Boxing,David Allen vs Filip Hrgović,h2h,Filip Hrgović,theScore Bet,-1000
Boxing,Desley Robinson vs Mary Spencer,h2h,Desley Robinson,DraftKings,-175
Boxing,Desley Robinson vs Mary Spencer,h2h,Desley Robinson,FanDuel,-176
Boxing,Desley Robinson vs Mary Spencer,h2h,Desley Robinson,theScore Bet,-175
Boxing,Desley Robinson vs Mary Spencer,h2h,Mary Spencer,DraftKings,140
Boxing,Desley Robinson vs Mary Spencer,h2h,Mary Spencer,FanDuel,130
Boxing,Desley Robinson vs Mary Spencer,h2h,Mary Spencer,theScore Bet,140
Boxing,Emanuel Odiase vs Nick Webb,h2h,Emanuel Odiase,FanDuel,-1600
Boxing,Emanuel Odiase vs Nick Webb,h2h,Emanuel Odiase,theScore Bet,-1400
Boxing,Emanuel Odiase vs Nick Webb,h2h,Nick Webb,FanDuel,660
Boxing,Emanuel Odiase vs Nick Webb,h2h,Nick Webb,theScore Bet,700
Boxing,Hamzah Sheeraz vs Alem Begic,h2h,Alem Begic,Bally Bet,900
Boxing,Hamzah Sheeraz vs Alem Begic,h2h,Alem Begic,BetMGM,750
Boxing,Hamzah Sheeraz vs Alem Begic,h2h,Alem Begic,DraftKings,900
Boxing,Hamzah Sheeraz vs Alem Begic,h2h,Alem Begic,FanDuel,1000
Boxing,Hamzah Sheeraz vs Alem Begic,h2h,Hamzah Sheeraz,Bally Bet,-1667
Boxing,Hamzah Sheeraz vs Alem Begic,h2h,Hamzah Sheeraz,BetMGM,-2000
Boxing,Hamzah Sheeraz vs Alem Begic,h2h,Hamzah Sheeraz,DraftKings,-2000
Boxing,Hamzah Sheeraz vs Alem Begic,h2h,Hamzah Sheeraz,FanDuel,-2000
Boxing,Karen Chukhadzhian vs Paddy Donovan,h2h,Karen Chukhadzhian,FanDuel,-152
Boxing,Karen Chukhadzhian vs Paddy Donovan,h2h,Paddy Donovan,FanDuel,114
Boxing,Kelvin Davis vs Peter Dobson,h2h,Kelvin Davis,FanDuel,-280
Boxing,Kelvin Davis vs Peter Dobson,h2h,Kelvin Davis,theScore Bet,-235
Boxing,Kelvin Davis vs Peter Dobson,h2h,Peter Dobson,FanDuel,198
Boxing,Kelvin Davis vs Peter Dobson,h2h,Peter Dobson,theScore Bet,185
Boxing,Keyshawn Davis vs Nahir Albright,h2h,Keyshawn Davis,DraftKings,-1400
Boxing,Keyshawn Davis vs Nahir Albright,h2h,Keyshawn Davis,FanDuel,-1200
Boxing,Keyshawn Davis vs Nahir Albright,h2h,Keyshawn Davis,theScore Bet,-2000
Boxing,Keyshawn Davis vs Nahir Albright,h2h,Nahir Albright,DraftKings,750
Boxing,Keyshawn Davis vs Nahir Albright,h2h,Nahir Albright,FanDuel,680
Boxing,Keyshawn Davis vs Nahir Albright,h2h,Nahir Albright,theScore Bet,850
Boxing,Lourdes Juarez vs Yokasta Valle,h2h,Lourdes Juarez,DraftKings,280
Boxing,Lourdes Juarez vs Yokasta Valle,h2h,Lourdes Juarez,FanDuel,330
Boxing,Lourdes Juarez vs Yokasta Valle,h2h,Lourdes Juarez,theScore Bet,280
Boxing,Lourdes Juarez vs Yokasta Valle,h2h,Yokasta Valle,DraftKings,-380
Boxing,Lourdes Juarez vs Yokasta Valle,h2h,Yokasta Valle,FanDuel,-550
Boxing,Lourdes Juarez vs Yokasta Valle,h2h,Yokasta Valle,theScore Bet,-375
Boxing,Maxi Hughes vs Lewis Sylvester,h2h,Lewis Sylvester,FanDuel,430
Boxing,Maxi Hughes vs Lewis Sylvester,h2h,Maxi Hughes,FanDuel,-750
Boxing,Michael Gomez Jr vs Lee McGregor,h2h,Lee McGregor,FanDuel,116
Boxing,Michael Gomez Jr vs Lee McGregor,h2h,Lee McGregor,theScore Bet,120
Boxing,Michael Gomez Jr vs Lee McGregor,h2h,Michael Gomez Jr,FanDuel,-154
Boxing,Michael Gomez Jr vs Lee McGregor,h2h,Michael Gomez Jr,theScore Bet,-150
Boxing,Mizuki Hiruta vs Mai Soliman,h2h,Mai Soliman,DraftKings,850
Boxing,Mizuki Hiruta vs Mai Soliman,h2h,Mai Soliman,FanDuel,590
Boxing,Mizuki Hiruta vs Mai Soliman,h2h,Mizuki Hiruta,DraftKings,-1800
Boxing,Mizuki Hiruta vs Mai Soliman,h2h,Mizuki Hiruta,FanDuel,-1300
